name,explanation,driver,driver2,failuremodefamily
Failure to be accountable for the lack or poor internal data responsibility,"Poor or lack of designation of responsibilities for internal data sources management, quality, veracity, and quantity.",Data ,Data ,Accountability
Failure to be accountable for the lack or poor external data responsibility,"Poor or lack of designation of external data sources management, quality, veracity, and quantity responsibilities.",Data ,Data ,Accountability
Failure to accountability by lack of corrective actions,Lack of identification and action associated with securing data accountability for data and algorithms,Internal Social,Internal Social,Accountability
Failure to transparency by lack of corrective actions,Lack of identification and action associated with securing system transparency in algorithms,Internal Social,Internal Social,Transparency
Failure to societal well-being by lack of corrective actions,Lack of identification and action associated with securing societal wellbeing for data and algorithms,Internal Social,Internal Social,Societal Wellbeing
Failure to Human Agency and Oversight by lack of corrective actions,Lack of identification and action associated with Human Agency and Oversight,Internal Social,Internal Social,Human Agency and Oversight
Failure to privacy by lack of corrective actions,Lack of identification and action associated with data privacy ,Internal Social,Internal Social,Privacy
Failure to bias by lack of corrective actions ,"Lack of identification and action associated with a bias from data, developers, and algorithms",Internal Social,Internal Social,Societal Wellbeing
Failure to users' values by lack of corrective actions,"Lack of identification and action associated with users' values and its trends for data, developers, and algorithms",Internal Social,Internal Social,Users Values
Failure to safety by perturbation attack,The attacker modifies the query to get an appropriate response ,Users and system interphase,Users and system interphase,Safety
Failure to safety by poisoning attack,Attacker contaminates the training phase of ML systems to get the intended result,Users and system interphase,Users and system interphase,Safety
Failure to safety by model inversion attack,The attacker recovers the secret features used in the model,Users and system interphase,Users and system interphase,Safety
Failure to safety by membership inference attack,Attacker infer if the given data record was part of the model?s training data set,Users and system interphase,Users and system interphase,Safety
Failure to safety by model stealing,The attacker can recover the model by constructing careful queries ,Users and system interphase,Users and system interphase,Safety
Failure to safety by the reprogramming ML system,Repurpose the ML system to perform a non-programmed activity,Users and system interphase,Users and system interphase,Safety
Failure to safety by adversarial example in the physical domain,Attacker brings adversarial examples into the physical domain to subvert ML system,Users and system interphase,Users and system interphase,Safety
Failure to safety by malicious ML provider,Malicious ML providers can query the model used by the customer and recover the customer's training data,Users and system interphase,Users and system interphase,Safety
Failure to safety by attacks over the ML supply chain,Attacker compromises the ML model as it is being downloaded for use,Users and system interphase,Users and system interphase,Safety
Failure to safety by backdoor ML,Malicious ML provider backdoors algorithm that does not work unless triggered,Users and system interphase,Users and system interphase,Safety
Failure to safety by exploiting software dependencies,The attacker uses traditional software exploits to confuse ML systems,Users and system interphase,Users and system interphase,Safety
Failure to safety by reward hacking ,Reinforcement learning systems act in unintended ways because of a mismatch between stated reward and true rewards,Users and system interphase,Users and system interphase,Safety
Failure to safety by side effects,System disrupts the environment as it tires of attaining its goal,Users and system interphase,Users and system interphase,Safety
Failure to robustness by distributional shifts,The system is tested in one kind of environment but is unable to adapt to changes in other kinds of environment,Algorithm,Algorithm,Technical Robustness
Failure to safety  by natural adversarial examples,"Without attacker perturbations, the ML system fails to owe to hard harmful mining",Users and system interphase,Users and system interphase,Safety
Failure to robustness by common corruption,"The system is not able to handle common corruption and perturbations such as tilting, zooming, or noisy images",Algorithm,Algorithm,Technical Robustness
Failure to robustness by incomplete testing or training,The Ml systems are not tasted or trained in realistic conditions that it is meant to operate,Users and system interphase,Users and system interphase,Technical Robustness
Failure to robustness by users violation,Violation of algorithms or methods by users intentionally or unintentionally causes failure by robustness.,Users and system interphase,Users and system interphase,Technical Robustness
Failure to safety by users violation,Violation of algorithms or methods by users intentionally or unintentionally causes failure by safety.,Users and system interphase,Users and system interphase,Safety
Failure to transparency by users violation,Violation of algorithms or methods by users intentionally or unintentionally causes failure by transparency.,Users and system interphase,Users and system interphase,Transparency
Failure to accountability by users violation,Violation of algorithms or methods by users intentionally or unintentionally causes failure by accountability.,Users and system interphase,Users and system interphase,Accountability
Failure to societal well-being by users violation,Violation of algorithms or methods by users intentionally or unintentionally causes failure by societal wellbeing.,Users and system interphase,Users and system interphase,Societal Wellbeing
Failure to environmental well-being by users violation,Violation of algorithms or methods by users intentionally or unintentionally causes failure by environmental wellbeing.,Users and system interphase,Users and system interphase,Environmental Wellbeing
Failure to human agency and oversight by users violation,Violation of algorithms or methods by users intentionally or unintentionally causes failure by Human agency and oversight.,Users and system interphase,Users and system interphase,Human Agency and Oversight
Failure to privacy by users violation,Violation of algorithms or methods by users intentionally or unintentionally causes failure by privacy.,Users and system interphase,Users and system interphase,Privacy
Failure to bias by users violation,Violation of algorithms or methods by users intentionally or unintentionally causes failure by bias.,Users and system interphase,Users and system interphase,Societal Wellbeing
Failure to users values by users violation,Violation of algorithms or methods by users intentionally or unintentionally causes failure by users' values.,Users and system interphase,Users and system interphase,Users Values
